Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
How do you replace coolant thermostat,2,20,-67.0
How is library science vand information science related,1,11,0.0
Which phase is the non dividing stage,2,20,-49.0
How much has michael vick worth after release from prison,2,20,-24.0
How can you get rid of dog fleas,1,11,0.0
This is the third largest oceans,2,22,-88.0
What is kristen steawerts brothers name,3,30,-15.25
What type of relief is the coastal plains,2,22,-4.0
What do the word anteroposterior means,4,40,-4.0
Does selena gomez have verizon wireless for her cell phone,0,0,0.0
What is winston churchills big achievements,1,11,0.0
What is the value of a 1988 barbie collectible,0,0,0.0
Who does sleaner gomez love,0,0,0.0
How many books selling online,0,0,0.0
How much anderson shelters cost in ww2,1,11,0.0
What is an exzmple of soliloquy,3,33,-0.5
Who invented first electirc stove and when,4,44,-2.6
What kind of cells make electricity from light,2,22,-17.0
Advantages and disadvantages of a bank,0,0,0.0
What is the difference between an electrician and an electrical engineer,0,0,0.0
What is the sequence to obtain a DNA fingerprint,3,30,-2.5
Where is nadia comasneci 's academy the perfect ten,1,10,1.0
One pound of confectioners sugar equals how many ounces,1,10,0.0
What skills are needed to become a surgeon to be successful,1,11,1.0
How much does a 1996 chevy lumina weigh,2,20,0.0
The precipitaion of a cougar,0,0,0.0
What are the Functions of proteins to the body,0,0,0.0
How much did the vietnam war cost per day,2,67,-64.0
Largest living life on earth,2,22,-49.0
The twinkling of stars is caused by,2,20,-24.0
What kind of music is listened toin costa rica,3,33,-11.5
Width of a football field in yards,1,10,1.0
What is revolution of the sun,1,10,0.0
How do snakes adapt to there enviornment,2,20,-9.0
Lil wayne 's favorite type of movie,1,10,0.0
Where to get legendary pokemon on tppcrpg,2,20,-15.0
What is moon jelly a radial or bilateral,0,0,0.0
Does she love corbin blu,1,11,0.0
What is grammatical cohesion,1,10,1.0
What family does a lizard come from,3,30,-0.5
How much do event planners make yearly,4,40,-6.1
What did the person that invented the first motor bike look like,5,56,-2.1
What are some cloven hooved animals,0,0,0.0
1963 five dollar bill with red serial numbers,1,10,1.0
How do you get rid of acene fast,3,30,-12.5
What is a moderately slow oven,1,10,0.0
Are Lea and cory dating,0,0,0.0
What are some commensasm relationships,4,40,-0.5
Where are the Black Hills located,4,40,-0.8
What caused worldwide economic crisis,1,10,0.0
Where does a snowstorm less likely happen,1,10,0.0
Class action lawsuit,4,40,-0.30000000000000004
Stratified random sampling,2,20,-12.0
Number of quarters in a roll,1,10,0.0
Who was in spains first government,1,11,0.0
What si social darwinism,3,30,0.5
Persecution of the christian church,0,0,0.0
Where does saltwater sponges live,2,100,-7.0
The photic zone has an maximum depth of,2,22,-12.0
Blue and pink make what,0,0,0.0
What are the various irrigation practices in the villages,1,10,0.0
How do you care for newborn pitbull pups,0,0,0.0
10 common defects characteristics in timber,3,30,-2.0
What are chinas important landmarks,1,10,1.0
What are utahs four largest cities,0,0,0.0
What are two powers that the legislative branch has,0,0,0.0
Branches on every division of philosophy,2,20,-19.0
What do the people in lebanon speak,1,11,1.0
What is the reason for the novel The Da Vinci Code,0,0,0.0
How many millimeter in one liter,3,30,-3.25
What language do people speak in Angola,1,11,0.0
How can you delete your millsberry,0,0,0.0
Would be a key to preventing future genocide,0,0,0.0
How many teaspoons in one half ounce liquid,2,20,-17.0
What are some cheerleading facts,4,40,-5.6
When is the coast guard day celebrated,4,44,-6.6
How far away it is from mercury,1,11,0.0
Code for rip jaws in dna,0,0,0.0
Worlds largest chicken,2,20,-52.0
What is the postal code of kentucky,4,40,-4.4
What creates a sandstorm,1,11,0.0
How much does a pound of marijuana cost in the us,0,0,0.0
How do you get the keys in sleuthhound,2,20,-25.0
Where is the largest bridgewho built itwhat kind of bridge is it,1,10,0.0
Apakah kraf tangan yang dibuat pada kain songket,2,22,-48.0
Why does a carbonated drink become flat when left open,1,10,1.0
Why sacrifice must environment to achieve development,0,0,0.0
How many atoms are contained in eachmolecule of sulfuric acid,2,20,-72.0
Who is the most famous african american mathmatician,1,10,1.0
What kind of cultures do chile have,4,40,0.0
Gas was used for balloons long time ago,2,20,-4.0
Can someone infected with syphillis get symptoms a week later,1,10,0.0
Can dogs eat pomegranite seeds,1,11,0.0
Really interesting facts about hernando cortez,3,30,-1.25
What language ia used in greece,3,30,0.25
Who is the most famous artist in guatemala,1,10,0.0
What are some fun sex games,1,10,1.0
How does an elephant attract its mate,2,20,-16.0
How many calories in cooked beef,2,20,-25.0
How many years do you need to go to college to be a cop,0,0,0.0
Average,1.57,17.41,-7.905
